,lambda(nm),T M45_LC,T M45_RC,T P45_LC,T P45_RC
256,328.084,0.094736,0.0911743,0.0911743,0.094736
257,327.225,0.0942164,0.0906339,0.0906339,0.0942164
258,326.371,0.0937116,0.0901497,0.0901497,0.0937116
259,325.521,0.0932119,0.0896946,0.0896946,0.0932119
260,324.675,0.0927146,0.0892227,0.0892227,0.0927146
261,323.834,0.0922285,0.0887219,0.0887219,0.0922285
262,322.997,0.0917645,0.0882272,0.0882272,0.0917645
263,322.165,0.0913237,0.0877817,0.0877817,0.0913237
264,321.337,0.0908959,0.0873888,0.0873888,0.0908959
265,320.513,0.0904724,0.0870095,0.0870095,0.0904724
266,319.693,0.0900566,0.0866078,0.0866078,0.0900566
267,318.878,0.0896615,0.0861915,0.0861915,0.0896615
268,318.066,0.0892955,0.0858038,0.0858038,0.0892955
269,317.259,0.0889525,0.0854741,0.0854741,0.0889525
270,316.456,0.0886193,0.0851861,0.0851861,0.0886193
271,315.657,0.0882909,0.084897,0.084897,0.0882909
272,314.861,0.0879779,0.084587,0.084587,0.0879779
273,314.07,0.0876947,0.0842816,0.0842816,0.0876947
274,313.283,0.0874441,0.0840229,0.0840229,0.0874441
275,312.5,0.0872131,0.0838222,0.0838222,0.0872131
276,311.721,0.0869882,0.0836477,0.0836477,0.0869882
277,310.945,0.0867715,0.0834617,0.0834617,0.0867715
278,310.174,0.0865794,0.0832635,0.0832635,0.0865794
279,309.406,0.0864248,0.0830908,0.0830908,0.0864248
280,308.642,0.0863021,0.0829765,0.0829765,0.0863021
281,307.882,0.0861933,0.0829117,0.0829117,0.0861933
282,307.125,0.0860886,0.0828565,0.0828565,0.0860886
283,306.373,0.0859986,0.082786,0.082786,0.0859986
284,305.623,0.0859433,0.0827189,0.0827189,0.0859433
285,304.878,0.0859301,0.0826967,0.0826967,0.0859301
286,304.136,0.0859446,0.0827361,0.0827361,0.0859446
287,303.398,0.0859665,0.0828103,0.0828103,0.0859665
288,302.663,0.0859935,0.0828804,0.0828804,0.0859935
289,301.932,0.0860449,0.08294,0.08294,0.0860449
290,301.205,0.086141,0.083023,0.083023,0.086141
291,300.481,0.0862799,0.0831655,0.0831655,0.0862799
292,299.76,0.0864391,0.0833641,0.0833641,0.0864391
293,299.043,0.0866007,0.0835804,0.0835804,0.0866007
294,298.329,0.0867728,0.0837851,0.0837851,0.0867728
295,297.619,0.0869818,0.0839926,0.0839926,0.0869818
296,296.912,0.0872436,0.0842449,0.0842449,0.0872436
297,296.209,0.0875446,0.084564,0.084564,0.0875446
298,295.508,0.0878571,0.0849265,0.0849265,0.0878571
299,294.811,0.0881703,0.0852908,0.0852908,0.0881703
300,294.118,0.0885047,0.0856453,0.0856453,0.0885047
301,293.427,0.0888901,0.086023,0.086023,0.0888901
302,292.74,0.0893328,0.0864644,0.0864644,0.0893328
303,292.056,0.0898074,0.0869713,0.0869713,0.0898074
304,291.375,0.0902852,0.0875044,0.0875044,0.0902852
305,290.698,0.0907675,0.088029,0.088029,0.0907675
306,290.023,0.0912866,0.0885558,0.0885558,0.0912866
307,289.352,0.0918709,0.0891306,0.0891306,0.0918709
308,288.684,0.0925125,0.0897822,0.0897822,0.0925125
309,288.018,0.0931755,0.0904894,0.0904894,0.0931755
310,287.356,0.0938364,0.091205,0.091205,0.0938364
311,286.697,0.0945128,0.0919111,0.0919111,0.0945128
312,286.041,0.0952461,0.0926415,0.0926415,0.0952461
313,285.388,0.0960562,0.093445,0.093445,0.0960562
314,284.738,0.0969185,0.0943297,0.0943297,0.0969185
315,284.091,0.0977905,0.0952533,0.0952533,0.0977905
316,283.447,0.098661,0.0961717,0.0961717,0.098661
317,282.805,0.0995657,0.0970916,0.0970916,0.0995657
318,282.167,0.10055,0.0980658,0.0980658,0.10055
319,281.532,0.101619,0.0991343,0.0991343,0.101619
320,280.899,0.102729,0.100279,0.100279,0.102729
321,280.269,0.103839,0.101441,0.101441,0.103839
322,279.642,0.104956,0.102594,0.102594,0.104956
323,279.018,0.106135,0.103773,0.103773,0.106135
324,278.396,0.107416,0.105041,0.105041,0.107416
325,277.778,0.108783,0.106416,0.106416,0.108783
326,277.162,0.110177,0.107851,0.107851,0.110177
327,276.549,0.111564,0.109287,0.109287,0.111564
328,275.938,0.112979,0.110721,0.110721,0.112979
329,275.33,0.11449,0.112219,0.112219,0.11449
330,274.725,0.116124,0.113839,0.113839,0.116124
331,274.123,0.117837,0.115569,0.115569,0.117837
332,273.523,0.119559,0.117337,0.117337,0.119559
333,272.926,0.121278,0.119093,0.119093,0.121278
334,272.331,0.123057,0.120873,0.120873,0.123057
335,271.739,0.124973,0.122764,0.122764,0.124973
336,271.15,0.127027,0.124808,0.124808,0.127027
337,270.563,0.129142,0.12695,0.12695,0.129142
338,269.978,0.131249,0.129101,0.129101,0.131249
339,269.397,0.133367,0.131241,0.131241,0.133367
340,268.817,0.135591,0.13345,0.13345,0.135591
341,268.24,0.137993,0.135824,0.135824,0.137993
342,267.666,0.140536,0.138365,0.138365,0.140536
343,267.094,0.14311,0.140975,0.140975,0.14311
344,266.525,0.145653,0.143562,0.143562,0.145653
345,265.957,0.148229,0.14615,0.14615,0.148229
346,265.393,0.150964,0.148863,0.148863,0.150964
347,264.831,0.153904,0.151785,0.151785,0.153904
348,264.271,0.156953,0.154857,0.154857,0.156953
349,263.713,0.159962,0.157926,0.157926,0.159962
350,263.158,0.16289,0.160914,0.160914,0.16289
351,262.605,0.165853,0.163902,0.163902,0.165853
352,262.055,0.168989,0.167043,0.167043,0.168989
353,261.506,0.172282,0.170368,0.170368,0.172282
354,260.96,0.175537,0.173714,0.173714,0.175537
355,260.417,0.17855,0.17686,0.17686,0.17855
356,259.875,0.181305,0.179746,0.179746,0.181305
357,259.336,0.183964,0.182512,0.182512,0.183964
358,258.799,0.186646,0.185304,0.185304,0.186646
359,258.264,0.189216,0.188041,0.188041,0.189216
360,257.732,0.191336,0.190405,0.190405,0.191336
361,257.202,0.192762,0.19212,0.19212,0.192762
362,256.674,0.193573,0.193211,0.193211,0.193573
363,256.148,0.194085,0.193975,0.193975,0.194085
364,255.624,0.194482,0.194628,0.194628,0.194482
365,255.102,0.194574,0.195032,0.195032,0.194574
366,254.582,0.193988,0.194811,0.194811,0.193988
367,254.065,0.192647,0.193833,0.193833,0.192647
368,253.55,0.191045,0.192528,0.192528,0.191045
369,253.036,0.189902,0.191612,0.191612,0.189902
370,252.525,0.189391,0.191336,0.191336,0.189391
371,252.016,0.188644,0.190929,0.190929,0.188644
372,251.509,0.186124,0.18889,0.18889,0.186124
373,251.004,0.18077,0.184077,0.184077,0.18077
374,250.501,0.173033,0.176782,0.176782,0.173033
375,250.0,0.164924,0.16887,0.16887,0.164924
376,249.501,0.158911,0.162758,0.162758,0.158911
377,249.004,0.156463,0.159976,0.159976,0.156463
378,248.509,0.157305,0.16038,0.16038,0.157305
379,248.016,0.159887,0.162547,0.162547,0.159887
380,247.525,0.162589,0.164922,0.164922,0.162589
381,247.036,0.164677,0.166768,0.166768,0.164677
382,246.548,0.166374,0.168258,0.168258,0.166374
383,246.063,0.168216,0.16988,0.16988,0.168216
384,245.58,0.170391,0.171808,0.171808,0.170391
385,245.098,0.172625,0.173788,0.173788,0.172625
386,244.618,0.17456,0.175491,0.175491,0.17456
387,244.141,0.176141,0.176873,0.176873,0.176141
388,243.665,0.177624,0.178168,0.178168,0.177624
389,243.191,0.179259,0.179593,0.179593,0.179259
390,242.718,0.181021,0.181115,0.181115,0.181021
391,242.248,0.182667,0.18251,0.18251,0.182667
392,241.779,0.184009,0.18362,0.18362,0.184009
393,241.313,0.185104,0.184512,0.184512,0.185104
394,240.848,0.186162,0.185373,0.185373,0.186162
395,240.385,0.187303,0.186291,0.186291,0.187303
396,239.923,0.188434,0.187166,0.187166,0.188434
397,239.464,0.189358,0.187829,0.187829,0.189358
398,239.006,0.189993,0.188226,0.188226,0.189993
399,238.55,0.190443,0.188467,0.188467,0.190443
400,238.095,0.190877,0.188691,0.188691,0.190877
401,237.643,0.191338,0.18891,0.18891,0.191338
402,237.192,0.191707,0.189006,0.189006,0.191707
403,236.742,0.191841,0.188867,0.188867,0.191841
404,236.295,0.191727,0.188512,0.188512,0.191727
405,235.849,0.19149,0.188062,0.188062,0.19149
406,235.405,0.191255,0.187605,0.187605,0.191255
407,234.962,0.191012,0.187105,0.187105,0.191012
408,234.522,0.190642,0.186453,0.186453,0.190642
409,234.082,0.190048,0.185591,0.185591,0.190048
410,233.645,0.189261,0.18458,0.18458,0.189261
411,233.209,0.188402,0.183527,0.183527,0.188402
412,232.775,0.187548,0.182472,0.182472,0.187548
413,232.342,0.186651,0.181346,0.181346,0.186651
414,231.911,0.185597,0.180056,0.180056,0.185597
415,231.481,0.184323,0.178584,0.178584,0.184323
416,231.054,0.182875,0.177005,0.177005,0.182875
417,230.627,0.18135,0.175402,0.175402,0.18135
418,230.203,0.179787,0.173783,0.173783,0.179787
419,229.779,0.178132,0.172088,0.172088,0.178132
420,229.358,0.176309,0.170259,0.170259,0.176309
421,228.938,0.174302,0.168304,0.168304,0.174302
422,228.519,0.172174,0.166271,0.166271,0.172174
423,228.102,0.169996,0.164185,0.164185,0.169996
424,227.687,0.16778,0.162015,0.162015,0.16778
425,227.273,0.165478,0.15972,0.15972,0.165478
426,226.86,0.163044,0.157301,0.157301,0.163044
427,226.449,0.160473,0.154798,0.154798,0.160473
428,226.04,0.157798,0.152237,0.152237,0.157798
429,225.632,0.155056,0.149601,0.149601,0.155056
430,225.225,0.152293,0.146887,0.146887,0.152293
431,224.82,0.149603,0.144184,0.144184,0.149603
432,224.417,0.14714,0.14169,0.14169,0.14714
433,224.014,0.145052,0.139598,0.139598,0.145052
434,223.614,0.143369,0.137952,0.137952,0.143369
435,223.214,0.141964,0.136608,0.136608,0.141964
436,222.816,0.140627,0.13534,0.13534,0.140627
437,222.42,0.139221,0.134016,0.134016,0.139221
438,222.025,0.137763,0.132667,0.132667,0.137763
439,221.631,0.136374,0.13141,0.13141,0.136374
440,221.239,0.135141,0.130306,0.130306,0.135141
441,220.848,0.134035,0.129303,0.129303,0.134035
442,220.459,0.132961,0.128312,0.128312,0.132961
443,220.07,0.131867,0.127315,0.127315,0.131867
444,219.684,0.130807,0.126392,0.126392,0.130807
445,219.298,0.12988,0.125636,0.125636,0.129881
446,218.914,0.12913,0.125053,0.125053,0.12913
447,218.531,0.128499,0.124564,0.124564,0.128499
448,218.15,0.127901,0.124094,0.124094,0.127901
449,217.77,0.127318,0.123661,0.123661,0.127318
450,217.391,0.126815,0.123349,0.123349,0.126815
451,217.014,0.126467,0.123211,0.123211,0.126467
452,216.638,0.126274,0.123206,0.123206,0.126274
453,216.263,0.126155,0.123239,0.123239,0.126155
454,215.889,0.126038,0.12326,0.12326,0.126038
455,215.517,0.12593,0.123311,0.123311,0.12593
456,215.146,0.125905,0.123473,0.123473,0.125905
457,214.777,0.126009,0.123762,0.123762,0.126009
458,214.408,0.126206,0.124108,0.124107,0.126206
459,214.041,0.126413,0.12442,0.12442,0.126413
460,213.675,0.126583,0.124685,0.124685,0.126583
461,213.311,0.126754,0.124973,0.124973,0.126754
462,212.947,0.126999,0.125354,0.125354,0.126999
463,212.585,0.127339,0.12581,0.12581,0.127339
464,212.224,0.127714,0.126255,0.126255,0.127714
465,211.864,0.128049,0.126623,0.126623,0.128049
466,211.506,0.128333,0.126939,0.126939,0.128333
467,211.149,0.128629,0.12729,0.12729,0.128629
468,210.793,0.128997,0.127722,0.127722,0.128997
469,210.438,0.129429,0.128189,0.128189,0.129429
470,210.084,0.129851,0.128598,0.128598,0.129851
471,209.732,0.130208,0.128917,0.128917,0.130208
472,209.38,0.130526,0.129207,0.129207,0.130526
473,209.03,0.130879,0.129559,0.129559,0.130879
474,208.681,0.131308,0.129987,0.129987,0.131308
475,208.333,0.131773,0.130416,0.130416,0.131773
476,207.987,0.132198,0.130765,0.130765,0.132198
477,207.641,0.13256,0.131041,0.131041,0.13256
478,207.297,0.132917,0.131337,0.131337,0.132917
